Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;503;155;2;UNIDAD DE LA IZQUIERDA;positivo;1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;503;155;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;6
;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;;;;;nulos;10
;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;;;;;recurridos;0
;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;;;;;comando;0
;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;;;;;blancos;5
;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;;;;;impugnados;0
SOCIALISTA;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;50;151;1;VAMOS CON VOS;positivo;4
MOVIMIENTO AL SOCIALISMO;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;200;152;1;PARA RENOVAR A LA IZQUIERDA;positivo;3
FRENTE DE TODOS;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;501;153;1;CELESTE Y BLANCA;positivo;55
JUNTOS POR EL CAMBIO;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;502;154;1;DEMOCRACIA Y CONSENSO;positivo;38
JUNTOS POR EL CAMBIO;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;502;154;3;MOVIMIENTO FEDERALISTA;positivo;5
JUNTOS POR EL CAMBIO;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;502;154;4;NUESTRA CAUSA;positivo;2
JUNTOS POR EL CAMBIO;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;502;154;5;UNIDOS POR LA PAMPA;positivo;87
JUNTOS POR EL CAMBIO;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;502;154;2;INTEGRACION PAMPEANA;positivo;4
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;503;155;2;UNIDAD DE LA IZQUIERDA;positivo;3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;2;00065;11;17;00696X;Quemú Quemú;503;155;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;4
;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;;;;;nulos;10
;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;;;;;recurridos;0
;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;;;;;comando;0
;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;;;;;blancos;3
;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;;;;;impugnados;0
SOCIALISTA;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;50;151;1;VAMOS CON VOS;positivo;4
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;200;152;1;PARA RENOVAR A LA IZQUIERDA;positivo;3
FRENTE DE TODOS;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;501;153;1;CELESTE Y BLANCA;positivo;55
