Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI);DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;47;178;1;ACOMPAÑANOS;positivo;57
SOCIALISTA;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;50;179;1;OJALÁ LA TIERRA;positivo;5
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;151;180;1;AZUL POR NEUQUÉN;positivo;37
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;151;180;3;UNIDOS SÍ PODEMOS;positivo;3
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;151;180;2;CUIDEMOS NEUQUÉN CONSTRUYAMOS FUTURO;positivo;30
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;183;181;1;PARA RENOVAR A LA IZQUIERDA;positivo;2
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;501;182;1;CELESTE Y BLANCA A;positivo;17
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;501;182;2;EVA PERÓN;positivo;3
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;501;182;3;NEUQUÉN DE TODOS;positivo;6
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;502;183;2;UNIDAD DE LA IZQUIERDA;positivo;15
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;502;183;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;6
CAMBIA NEUQUÉN;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:54;3;00001;15;1;00003X;Confluencia;503;184;1;JUNTOS;positivo;53
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;;;;;nulos;16
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;;;;;comando;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;;;;;blancos;3
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;;;;;impugnados;0
MOVIMIENTO LIBRES DEL SUR;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;40;177;1;#CON VOS;positivo;8
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI);DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;47;178;1;ACOMPAÑANOS;positivo;60
SOCIALISTA;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;50;179;1;OJALÁ LA TIERRA;positivo;1
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;151;180;1;AZUL POR NEUQUÉN;positivo;36
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;151;180;3;UNIDOS SÍ PODEMOS;positivo;2
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;151;180;2;CUIDEMOS NEUQUÉN CONSTRUYAMOS FUTURO;positivo;23
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;183;181;1;PARA RENOVAR A LA IZQUIERDA;positivo;3
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;501;182;1;CELESTE Y BLANCA A;positivo;16
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;501;182;2;EVA PERÓN;positivo;7
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;501;182;3;NEUQUÉN DE TODOS;positivo;6
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;502;183;2;UNIDAD DE LA IZQUIERDA;positivo;20
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;502;183;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;5
CAMBIA NEUQUÉN;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:37;3;00001;15;1;00004X;Confluencia;503;184;1;JUNTOS;positivo;65
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;;;;;nulos;19
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;;;;;comando;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;;;;;blancos;3
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;;;;;impugnados;0
MOVIMIENTO LIBRES DEL SUR;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;40;177;1;#CON VOS;positivo;9
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI);DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;47;178;1;ACOMPAÑANOS;positivo;50
SOCIALISTA;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;50;179;1;OJALÁ LA TIERRA;positivo;8
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;151;180;1;AZUL POR NEUQUÉN;positivo;35
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;151;180;3;UNIDOS SÍ PODEMOS;positivo;2
MOVIMIENTO POPULAR NEUQUINO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;151;180;2;CUIDEMOS NEUQUÉN CONSTRUYAMOS FUTURO;positivo;33
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;183;181;1;PARA RENOVAR A LA IZQUIERDA;positivo;0
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;501;182;1;CELESTE Y BLANCA A;positivo;22
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;501;182;2;EVA PERÓN;positivo;6
FRENTE DE TODOS;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;501;182;3;NEUQUÉN DE TODOS;positivo;7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;502;183;2;UNIDAD DE LA IZQUIERDA;positivo;13
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;502;183;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;2
CAMBIA NEUQUÉN;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 19:46;3;00001;15;1;00005X;Confluencia;503;184;1;JUNTOS;positivo;58
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:18;3;00001;15;1;00006X;Confluencia;;;;;nulos;20
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:18;3;00001;15;1;00006X;Confluencia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:18;3;00001;15;1;00006X;Confluencia;;;;;comando;0
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:18;3;00001;15;1;00006X;Confluencia;;;;;blancos;4
;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:18;3;00001;15;1;00006X;Confluencia;;;;;impugnados;3
MOVIMIENTO LIBRES DEL SUR;DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:18;3;00001;15;1;00006X;Confluencia;40;177;1;#CON VOS;positivo;8
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI);DIPUTADOS NACIONALES;00080;Neuquén;ESCUELA 103;12-09-2021 20:18;3;00001;15;1;00006X;Confluencia;47;178;1;ACOMPAÑANOS;positivo;60
