Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:17;3;00045;18;4;00623X;Rivadavia;504;202;2;UNIDAD DE LA IZQUIERDA;positivo;2
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:17;3;00045;18;4;00623X;Rivadavia;504;202;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;9
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:18;3;00045;18;4;00624X;Rivadavia;;;;;nulos;3
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:18;3;00045;18;4;00624X;Rivadavia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:18;3;00045;18;4;00624X;Rivadavia;;;;;comando;0
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:18;3;00045;18;4;00624X;Rivadavia;;;;;blancos;9
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:18;3;00045;18;4;00624X;Rivadavia;;;;;impugnados;0
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:18;3;00045;18;4;00624X;Rivadavia;501;199;1;JUNTO CON VOS;positivo;130
CONSENSO ISHCHIGUALASTO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:18;3;00045;18;4;00624X;Rivadavia;502;200;1;CONSENSO;positivo;18
FRENTE DE TODOS;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:18;3;00045;18;4;00624X;Rivadavia;503;201;1;TODOS UNIDOS;positivo;58
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:18;3;00045;18;4;00624X;Rivadavia;504;202;2;UNIDAD DE LA IZQUIERDA;positivo;7
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:18;3;00045;18;4;00624X;Rivadavia;504;202;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;13
