Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;;;;;nulos;19,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;;;;;recurridos;0,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;;;;;comando;0,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;;;;;blancos;6,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;;;;;impugnados;0,,
SOCIALISTA;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;50;185;1;ALFREDO BRAVO;positivo;6,,
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;165;186;1;PARA RENOVAR A LA IZQUIERDA;positivo;11,,
FRENTE DE TODOS;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;501;187;1;UNIDAD AZUL,CELESTE Y BLANCA;positivo;44,
JUNTOS SOMOS RIO NEGRO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;502;188;1;SIGAMOS CRECIENDO;positivo;61,,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;503;189;2;UNIDAD DE LA IZQUIERDA;positivo;4,,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;503;189;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;3,,
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;504;190;3;ROJO,BLANCO Y MORADO;positivo;8,
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;504;190;1;AMARILLA,AZUL,VERDE Y ROJA;positivo;13
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:35;3;00105;16;1;00042X;Adolfo Alsina;504;190;2;ROJA,BLANCA Y ROJA;positivo;28,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:17;3;00105;16;1;00043X;Adolfo Alsina;;;;;nulos;14,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:17;3;00105;16;1;00043X;Adolfo Alsina;;;;;recurridos;0,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:17;3;00105;16;1;00043X;Adolfo Alsina;;;;;comando;0,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:17;3;00105;16;1;00043X;Adolfo Alsina;;;;;blancos;5,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:17;3;00105;16;1;00043X;Adolfo Alsina;;;;;impugnados;0,,
SOCIALISTA;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:17;3;00105;16;1;00043X;Adolfo Alsina;50;185;1;ALFREDO BRAVO;positivo;4,,
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:17;3;00105;16;1;00043X;Adolfo Alsina;165;186;1;PARA RENOVAR A LA IZQUIERDA;positivo;10,,
