Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:47;3;00032;10;4;00980X;El Carmen;;;;;blancos;3
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:47;3;00032;10;4;00980X;El Carmen;;;;;impugnados;0
FRENTE DE TODOS;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:47;3;00032;10;4;00980X;El Carmen;501;148;1;CELESTE Y BLANCA DE TODOS;positivo;97
CAMBIA JUJUY;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:47;3;00032;10;4;00980X;El Carmen;502;149;1;SIGAMOS TRANSFORMANDO JUJUY;positivo;77
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:47;3;00032;10;4;00980X;El Carmen;503;150;2;UNIDAD DE LA IZQUIERDA;positivo;35
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:47;3;00032;10;4;00980X;El Carmen;503;150;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;6
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:49;3;00032;10;4;00981X;El Carmen;;;;;nulos;9
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:49;3;00032;10;4;00981X;El Carmen;;;;;recurridos;0
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:49;3;00032;10;4;00981X;El Carmen;;;;;comando;0
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:49;3;00032;10;4;00981X;El Carmen;;;;;blancos;2
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:49;3;00032;10;4;00981X;El Carmen;;;;;impugnados;0
FRENTE DE TODOS;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:49;3;00032;10;4;00981X;El Carmen;501;148;1;CELESTE Y BLANCA DE TODOS;positivo;78
CAMBIA JUJUY;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:49;3;00032;10;4;00981X;El Carmen;502;149;1;SIGAMOS TRANSFORMANDO JUJUY;positivo;76
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:49;3;00032;10;4;00981X;El Carmen;503;150;2;UNIDAD DE LA IZQUIERDA;positivo;36
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:49;3;00032;10;4;00981X;El Carmen;503;150;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;11
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:02;3;00032;10;4;00982X;El Carmen;;;;;nulos;4
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:02;3;00032;10;4;00982X;El Carmen;;;;;recurridos;0
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:02;3;00032;10;4;00982X;El Carmen;;;;;comando;0
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:02;3;00032;10;4;00982X;El Carmen;;;;;blancos;2
;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:02;3;00032;10;4;00982X;El Carmen;;;;;impugnados;0
FRENTE DE TODOS;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:02;3;00032;10;4;00982X;El Carmen;501;148;1;CELESTE Y BLANCA DE TODOS;positivo;65
CAMBIA JUJUY;DIPUTADOS NACIONALES;00154;Jujuy;ESC.E.T. N° 1 MONTERRICO;12-09-2021 21:02;3;00032;10;4;00982X;El Carmen;502;149;1;SIGAMOS TRANSFORMANDO JUJUY;positivo;108
