Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:22;3;00002;19;1;00459X;Juan Martín de Pueyrredón;503;210;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;3
UNIÓN CÍVICA RADICAL;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:22;3;00002;19;1;00459X;Juan Martín de Pueyrredón;3;203;2;JUNTOS;positivo;9
UNIÓN CÍVICA RADICAL;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:22;3;00002;19;1;00459X;Juan Martín de Pueyrredón;3;203;1;CAMBIA SAN LUIS;positivo;6
MOVIMIENTO LIBRES DEL SUR;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:22;3;00002;19;1;00459X;Juan Martín de Pueyrredón;40;204;1;EL FUTURO ES NUESTRO;positivo;4
GEN;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:22;3;00002;19;1;00459X;Juan Martín de Pueyrredón;69;205;1;LA LISTA DEL PUEBLO;positivo;2
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:22;3;00002;19;1;00459X;Juan Martín de Pueyrredón;208;206;1;PARA RENOVAR A LA IZQUIERDA;positivo;0
TODOS UNIDOS;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:22;3;00002;19;1;00459X;Juan Martín de Pueyrredón;209;207;1;SAN LUIS PRIMERO;positivo;3
;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:23;3;00002;19;1;00461X;Juan Martín de Pueyrredón;;;;;nulos;9
;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:23;3;00002;19;1;00461X;Juan Martín de Pueyrredón;;;;;recurridos;0
;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:23;3;00002;19;1;00461X;Juan Martín de Pueyrredón;;;;;comando;0
;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:23;3;00002;19;1;00461X;Juan Martín de Pueyrredón;;;;;blancos;6
;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:23;3;00002;19;1;00461X;Juan Martín de Pueyrredón;;;;;impugnados;0
