Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos,
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:47;3;00113;24;1;00203X;Ushuaia;502;251;4;JUNTOS TIERRA DEL FUEGO;positivo;26
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:47;3;00113;24;1;00203X;Ushuaia;502;251;2;EVOLUCIÓN M.N.M.R.;positivo;1
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:47;3;00113;24;1;00203X;Ushuaia;502;251;1;ADELANTE TIERRA DEL FUEGO;positivo;1
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:47;3;00113;24;1;00203X;Ushuaia;502;251;5;REPÚBLICA URGENTE;positivo;1
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:47;3;00113;24;1;00203X;Ushuaia;502;251;3;JUNTOS PODEMOS;positivo;40
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;;;;;nulos;17
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;;;;;comando;0
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;;;;;blancos;2
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;;;;;impugnados;0
OBRERO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;89;245;1;FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD COLOR ROJA;positivo;7
MOVIMIENTO POPULAR FUEGUINO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;154;246;1;MILITANCIA MOPOFISTA;positivo;4
SOMOS FUEGUINOS;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;167;247;1;BLANCA;positivo;38
REPUBLICANOS UNIDOS;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;212;248;1;FUEGUINOS;positivo;4
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;214;249;1;PARA RENOVAR A LA IZQUIERDA;positivo;5
FRENTE DE TODOS;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;501;250;1;CELESTE Y BLANCA;positivo;47
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;502;251;4;JUNTOS TIERRA DEL FUEGO;positivo;24
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;502;251;2;EVOLUCIÓN M.N.M.R.;positivo;2
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;502;251;1;ADELANTE TIERRA DEL FUEGO;positivo;4
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;502;251;5;REPÚBLICA URGENTE;positivo;2
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:19;3;00113;24;1;00204X;Ushuaia;502;251;3;JUNTOS PODEMOS;positivo;41
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:14;3;00113;24;1;00205X;Ushuaia;;;;;nulos;14
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:14;3;00113;24;1;00205X;Ushuaia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:14;3;00113;24;1;00205X;Ushuaia;;;;;comando;0
